IDH,Departamento,Población Cabecera,Población Resto,Población Total
0.792,,,,
0.7709999999999999,Valle del Cauca,4169228.0,586472.0,4755760.0
0.77,San Andrés y Providencia,56487.0,21926.0,78413.0
0.754,San Andrés y Providencia,56487.0,21926.0,78413.0
0.7659999999999999,Atlántico,2438772.0,107366.0,2546138.0
0.765,Quindío,506238.0,68722.0,574960.0
0.758,Meta,775621.0,241051.0,1016672.0
0.758,Santander,1588034.0,502820.0,2090854.0
0.757,Caldas,719730.0,274140.0,993870.0
0.752,Antioquia,5262135.0,1428842.0,6690977.0
0.742,Risaralda,761660.0,206120.0,967780.0
0.74,Boyacá,742726.0,539253.0,1281979.0
0.737,Guaviare,69723.0,46106.0,115829.0
0.736,Bolívar,1693970.0,477588.0,2171558.0
0.735,Vichada,34200.0,43076.0,77276.0
0.73,Casanare,281609.0,93649.0,375258.0
0.73,Norte de Santander,1099486.0,291880.0,1391366.0
0.727,Tolima,980713.0,439244.0,1419957.0
0.725,Sucre,596618.0,280406.0,877024.0
0.722,Arauca,172650.0,98058.0,270708.0
0.7120000000000001,Cesar,805211.0,260426.0,1065637.0
0.7090000000000001,Huila,714762.0,482287.0,1197049.0
0.7090000000000001,Magdalena,967710.0,330852.0,1298562.0
0.7040000000000001,Nariño,907725.0,901576.0,1809301.0
0.7020000000000001,Cauca,567610.0,848535.0,1416145.0
0.701,Amazonas,29009.0,49821.0,78830.0
0.701,Caquetá,300040.0,196222.0,496262.0
0.6990000000000001,Córdoba,950230.0,838418.0,1788648.0
0.6990000000000001,Guainía,13090.0,30356.0,43446.0
0.654,Guainía,13090.0,30356.0,43446.0
0.679,Chocó,253092.0,262074.0,515166.0
0.6779999999999999,La Guajira,570518.0,469675.0,1040193.0
0.624,Vaupés,17679.0,27249.0,44928.0
0.748,,,,
,Cundinamarca,10070801.0,914484.0,10985285.0
,Putumayo,179323.0,179573.0,358896.0
